iter	RMSE
0	149252.7095
1	146188.7698
2	143729.812
3	141587.3944
4	139883.1604
5	138501.0622
6	137403.6463
7	136514.7653
8	135804.4319
9	135219.1515
10	134639.245
11	134190.8635
12	133786.8984
13	133474.7222
14	133127.6889
15	132860.493
16	132579.3178
17	132408.64
18	132174.3322
19	131994.8331
20	131787.6167
21	131540.6511
22	131406.024
23	131172.6228
24	131031.6818
25	130924.1997
26	130738.1258
27	130539.2122
28	130445.0424
29	130337.9415
30	130193.0149
31	130045.3566
32	129843.3667
33	129745.344
34	129558.6907
35	129457.0928
36	129218.8288
37	129092.4086
38	128992.6824
39	128895.3384
40	128834.2481
41	128741.1282
42	128653.886
43	128411.5943
44	128351.9022
45	128197.2065
46	128095.9852
47	128049.4818
48	128000.1005
49	127782.3768
50	127680.0407
51	127585.5627
52	127379.9619
53	127339.5229
54	127231.3524
55	127140.6404
56	126929.2326
57	126835.9298
58	126703.9587
59	126558.3274
60	126366.9407
61	126303.0869
62	126140.3999
63	126092.5173
64	125896.3073
65	125733.1292
66	125659.325
67	125608.3087
68	125530.1816
69	125402.3768
70	125334.3327
71	125194.4426
72	125160.0159
73	125037.6516
74	124944.1739
75	124829.2841
76	124766.3494
77	124703.2995
78	124633.3985
79	124551.851
80	124494.9895
81	124411.05
82	124322.5751
83	124237.8282
84	124125.7988
85	124046.0941
86	123990.372
87	123738.8407
88	123589.0628
89	123494.7265
90	123465.5138
91	123406.0599
92	123345.1841
93	123235.4919
94	123142.5067
95	123011.3338
96	122834.1305
97	122780.7158
98	122727.659
99	122687.3962
100	122633.6071
101	122610.1808
102	122527.5888
103	122444.5179
104	122373.6117
105	122325.2381
106	122253.056
107	122222.684
108	122089.6431
109	121988.5693
110	121936.0407
111	121867.1858
112	121724.9246
113	121661.0218
114	121607.6437
115	121549.6361
116	121526.9559
117	121374.2148
118	121325.5304
119	121254.2448
120	121210.2923
121	121119.0305
122	121063.9724
123	121002.0378
124	120967.88
125	120800.1716
126	120757.0738
127	120601.3663
128	120513.0575
129	120383.6581
130	120298.4893
131	120137.7014
132	120101.5453
133	119977.1195
134	119851.1538
135	119722.5974
136	119643.4693
137	119431.833
138	119332.0244
139	119310.502
140	119243.137
141	119196.2496
142	119075.0934
143	119020.5423
144	118924.757
145	118882.751
146	118799.0537
147	118735.7842
148	118698.9985
149	118667.2083
150	118647.3933
151	118604.8985
152	118545.0583
153	118502.6336
154	118468.0091
155	118427.7294
156	118405.5952
157	118380.985
158	118360.0142
159	118317.2352
160	118291.3646
161	118274.6956
162	118233.0923
163	118173.8192
164	118140.2614
165	118109.1003
166	118040.0298
167	117993.3391
168	117941.6203
169	117912.095
170	117856.1199
171	117686.4234
172	117636.5607
173	117459.7052
174	117426.2149
175	117372.1052
176	117321.7224
177	117218.4957
178	117159.5003
179	117056.7106
180	116975.3596
181	116852.7346
182	116762.4208
183	116611.7334
184	116554.7506
185	116425.2636
186	116338.41
187	116260.1837
188	116169.8348
189	116125.897
190	115998.8741
191	115951.4578
192	115922.5307
193	115886.3611
194	115861.841
195	115808.3354
196	115774.6455
197	115734.652
198	115703.0144
199	115663.1842
200	115607.6371
201	115591.8041
202	115567.5844
203	115499.9214
204	115346.1715
205	115241.9568
206	115158.9615
207	115070.6209
208	115007.2605
209	114985.1926
210	114892.2184
211	114857.3005
212	114759.8561
213	114729.1497
214	114694.2814
215	114660.9933
216	114645.4987
217	114627.2812
218	114551.9379
219	114373.2116
220	114328.9214
221	114309.2555
222	114193.0038
223	114102.493
224	114071.0454
225	114051.821
226	113960.7851
227	113889.9008
228	113839.2132
229	113805.7169
230	113783.0194
231	113721.8959
232	113707.1979
233	113669.9547
234	113638.0861
235	113599.1833
236	113560.4287
237	113538.7318
238	113481.2232
239	113427.7911
240	113401.3873
241	113377.961
242	113348.4459
243	113322.7535
244	113234.488
245	113216.7444
246	113204.2586
247	113103.0585
248	113057.2719
249	113032.8888
250	113010.4749
251	112944.085
252	112840.7375
253	112803.7924
254	112762.5541
255	112707.1338
256	112660.1912
257	112613.9051
258	112534.6983
259	112469.3098
260	112423.8345
261	112340.8922
262	112265.3709
263	112253.6327
264	112238.1266
265	112223.1769
266	112085.5573
267	112042.8039
268	111953.0245
269	111917.4862
270	111866.4167
271	111844.131
272	111821.4801
273	111752.6717
274	111691.6531
275	111627.2572
276	111586.5884
277	111514.4926
278	111445.0739
279	111396.8809
280	111294.192
281	111243.1028
282	111227.4417
283	111206.5384
284	111193.5103
285	111162.3547
286	111141.2622
287	111120.9695
288	111073.7633
289	111012.0213
290	110971.5938
291	110940.5107
292	110864.9266
293	110844.3134
294	110798.3302
295	110716.8067
296	110688.0084
297	110618.8057
298	110602.1985
299	110548.12
300	110531.3344
301	110490.9161
302	110461.7403
303	110414.1006
304	110369.7576
305	110349.3157
306	110326.1662
307	110200.3735
308	110142.919
309	110125.084
310	110102.5943
311	110090.3195
312	110077.4367
313	110055.6777
314	110018.4131
315	109970.2811
316	109957.4439
317	109911.8657
318	109864.8709
319	109852.5341
320	109790.5222
321	109736.7812
322	109702.074
323	109666.4347
324	109637.7304
325	109622.5605
326	109608.3117
327	109507.1057
328	109498.6459
329	109490.3835
330	109478.2834
331	109399.4258
332	109376.4674
333	109338.4529
334	109300.3212
335	109282.8165
336	109220.6185
337	109167.6149
338	109138.3012
339	109110.7154
340	109076.4293
341	109047.5383
342	109005.4571
343	108957.1108
344	108946.1995
345	108892.2646
346	108851.0939
347	108817.8401
348	108796.3787
349	108780.2122
350	108766.4623
351	108745.2082
352	108703.1317
353	108675.6776
354	108651.452
355	108631.6659
356	108557.694
357	108544.3623
358	108524.0718
359	108514.6515
360	108494.64
361	108472.7543
362	108385.7332
363	108346.5226
364	108269.8403
365	108237.5478
366	108212.6855
367	108175.3395
368	108137.0133
369	108121.0311
370	108097.7975
371	108019.1191
372	108009.8498
373	107979.3089
374	107967.9015
375	107945.249
376	107903.9261
377	107866.7975
378	107832.4929
379	107823.5562
380	107783.0358
381	107717.068
382	107685.8901
383	107670.9177
384	107656.821
385	107617.9028
386	107554.4535
387	107541.7035
388	107480.0073
389	107462.753
390	107434.5971
391	107404.2622
392	107377.6234
393	107344.9563
394	107322.3633
395	107294.4434
396	107276.6072
397	107221.2869
398	107215.9573
399	107194.3679
400	107160.1928
401	107133.512
402	107103.4939
403	107091.7658
404	107068.6079
405	107057.5853
406	107044.0027
407	107035.2251
408	107021.6372
409	106993.2206
410	106957.8077
411	106941.2964
412	106928.0443
413	106920.8709
414	106905.9582
415	106868.9082
416	106861.3963
417	106828.2277
418	106817.5765
419	106794.6473
420	106734.6677
421	106710.7628
422	106669.6181
423	106635.537
424	106599.4313
425	106552.2956
426	106533.556
427	106488.7106
428	106413.9404
429	106404.5365
430	106361.1927
431	106316.2287
432	106279.9273
433	106259.684
434	106220.2278
435	106177.5605
436	106155.128
437	106081.0052
438	106025.4467
439	106004.4996
440	105956.0547
441	105898.1262
442	105890.7285
443	105849.9112
444	105835.1933
445	105822.5073
446	105804.4222
447	105774.5105
448	105751.7829
449	105736.5514
450	105709.0903
451	105681.3975
452	105657.6327
453	105644.5223
454	105634.4621
455	105564.9076
456	105553.2882
457	105525.014
458	105506.8768
459	105497.5868
460	105491.883
461	105465.7634
462	105450.2809
463	105398.2039
464	105393.8976
465	105378.6274
466	105357.9583
467	105323.1698
468	105286.7089
469	105276.1781
470	105255.7651
471	105241.0604
472	105231.2663
473	105216.4613
474	105201.4643
475	105191.109
476	105181.9162
477	105171.1271
478	105143.258
479	105139.9255
480	105114.4601
481	105057.1701
482	105022.2547
483	105015.6038
484	104961.0091
485	104933.0772
486	104879.6341
487	104831.6552
488	104762.2619
489	104720.2519
490	104692.4758
491	104654.139
492	104626.4514
493	104590.6384
494	104553.5812
495	104523.5059
496	104514.8648
497	104492.3433
498	104462.1196
499	104442.049
500	104414.8326
501	104407.8762
502	104392.3046
503	104362.0335
504	104316.1719
505	104292.4367
506	104271.8635
507	104262.2568
508	104251.1869
509	104243.8266
510	104234.2887
511	104208.1361
512	104189.8732
513	104159.4012
514	104134.4282
515	104119.5268
516	104090.7567
517	104052.7635
518	104013.1134
519	103998.4539
520	103990.5323
521	103958.4206
522	103930.8116
523	103914.0352
524	103875.7066
525	103864.7897
526	103814.1901
527	103804.9934
528	103792.8055
529	103772.3892
530	103748.7646
531	103740.8459
532	103724.6336
533	103718.8333
534	103711.7482
535	103700.4361
536	103693.587
537	103660.4488
538	103655.9312
539	103626.2272
540	103605.0382
541	103599.929
542	103593.4231
543	103573.7062
544	103550.243
545	103543.7492
546	103525.1625
547	103499.1875
548	103476.9916
549	103463.3578
550	103447.5217
551	103436.2837
552	103427.3181
553	103384.7673
554	103370.0944
555	103341.7361
556	103301.0775
557	103270.9107
558	103263.546
559	103251.5564
560	103228.6307
561	103216.464
562	103194.0774
563	103168.9308
564	103150.6947
565	103137.5754
566	103104.2538
567	103055.2025
568	103035.0446
569	103014.9752
570	102957.9499
571	102924.8013
572	102899.3492
573	102875.1907
574	102870.8532
575	102865.5973
576	102834.838
577	102813.2579
578	102802.2759
579	102793.0598
580	102784.5371
581	102747.8206
582	102725.8041
583	102704.7851
584	102694.1618
585	102666.8047
586	102635.177
587	102603.5667
588	102583.4893
589	102573.2209
590	102557.3804
591	102537.7783
592	102524.4257
593	102514.9786
594	102492.1275
595	102478.8827
596	102455.1576
597	102433.7265
598	102415.3356
599	102397.6042
600	102387.3031
601	102374.1004
602	102368.2672
603	102356.216
604	102343.7137
605	102327.1812
606	102322.0115
607	102295.5161
608	102288.1297
609	102273.9569
610	102268.5826
611	102241.9595
612	102218.3097
613	102200.6494
614	102193.24
615	102156.4483
616	102136.7034
617	102107.7074
618	102100.314
619	102088.5049
620	102073.1129
621	102052.369
622	102027.2724
623	102015.7317
624	101995.03
625	101963.8048
626	101877.4095
627	101868.4399
628	101860.6222
629	101854.5571
630	101842.4782
631	101821.401
632	101802.3036
633	101797.6501
634	101787.4307
635	101783.1806
636	101772.1853
637	101759.6727
638	101752.9721
639	101739.6939
640	101729.404
641	101709.9076
642	101694.9256
643	101686.1266
644	101668.3623
645	101661.2659
646	101628.2991
647	101623.2857
648	101602.89
649	101594.6666
650	101586.9025
651	101578.3699
652	101557.9087
653	101546.4102
654	101536.1284
655	101497.3016
656	101491.3279
657	101486.6252
658	101461.6481
659	101449.7244
660	101431.267
661	101405.2993
662	101386.8708
663	101359.1681
664	101329.3853
665	101322.0711
666	101273.1996
667	101268.5077
668	101260.0247
669	101248.7802
670	101225.5156
671	101217.9797
672	101207.485
673	101183.3824
674	101176.0794
675	101172.6989
676	101158.4544
677	101151.162
678	101143.9412
679	101130.1982
680	101127.4801
681	101120.2209
682	101075.4774
683	101047.9334
684	101028.1358
685	101006.934
686	100993.0235
687	100977.5397
688	100968.5958
689	100964.3865
690	100946.9407
691	100937.9289
692	100934.752
693	100922.5724
694	100915.43
695	100898.9776
696	100889.6753
697	100874.9468
698	100860.1764
699	100823.831
700	100802.195
701	100793.8257
702	100787.7482
703	100769.6114
704	100748.5135
705	100731.8244
706	100716.9198
707	100698.9847
708	100667.7917
709	100662.9061
710	100654.8831
711	100620.8114
712	100610.8661
713	100601.3101
714	100544.5162
715	100541.7543
716	100536.3491
717	100526.9439
718	100517.6781
719	100508.4245
720	100491.3031
721	100465.6191
722	100456.207
723	100448.5801
724	100437.5389
725	100432.6304
726	100420.1146
727	100392.6363
728	100392.5705
729	100388.046
730	100373.2098
731	100338.1121
732	100325.9004
733	100318.4215
734	100296.8752
735	100291.5857
736	100285.8137
737	100266.0112
738	100256.5517
739	100240.2718
740	100228.9661
741	100220.6349
742	100185.4163
743	100176.2066
744	100161.588
745	100155.8178
746	100144.1179
747	100133.1492
748	100112.6153
749	100103.7869
750	100095.7991
751	100088.4069
752	100065.532
753	100050.8503
754	100043.2038
755	100034.2662
756	100028.4837
757	100003.0867
758	99987.87652
759	99983.91091
760	99965.36913
761	99950.07107
762	99933.64044
763	99931.30314
764	99930.18804
765	99925.60674
766	99914.55856
767	99910.70621
768	99896.91249
769	99884.29814
770	99866.89861
771	99850.82683
772	99835.4073
773	99814.51275
774	99807.18394
775	99798.79207
776	99798.73465
777	99788.50928
778	99764.87904
779	99740.83041
780	99711.78134
781	99699.96078
782	99693.09597
783	99693.06017
784	99690.82242
785	99670.23803
786	99652.57132
787	99635.74367
788	99628.88771
789	99610.77844
790	99605.74291
791	99598.04331
792	99585.88342
793	99557.2819
794	99550.60683
795	99532.75629
796	99520.26342
797	99506.14014
798	99503.61765
799	99445.70262
800	99429.27042
801	99395.61631
802	99384.59198
803	99369.61683
804	99360.50946
805	99353.54717
806	99350.26768
807	99339.65446
808	99333.15658
809	99330.38525
810	99324.24314
811	99298.34051
812	99277.22171
813	99272.62141
814	99254.18204
815	99237.20704
816	99212.56441
817	99183.02354
818	99164.63825
819	99150.96434
820	99150.60903
821	99146.77046
822	99142.06439
823	99142.01044
824	99130.78672
825	99126.00575
826	99121.65928
