iter	Passed	Remaining
0	99	99816
1	125	62465
2	146	48542
3	183	45770
4	205	40971
5	227	37648
6	256	36426
7	276	34246
8	310	34173
9	337	33382
10	359	32322
11	384	31635
12	407	30925
13	429	30261
14	456	30002
15	482	29652
16	504	29196
17	533	29092
18	555	28664
19	589	28867
20	615	28681
21	653	29072
22	686	29144
23	724	29476
24	752	29351
25	782	29297
26	810	29208
27	842	29254
28	872	29223
29	902	29179
30	940	29410
31	985	29811
32	1019	29877
33	1061	30153
34	1090	30080
35	1122	30046
36	1159	30167
37	1186	30030
38	1209	29798
39	1239	29747
40	1293	30258
41	1326	30255
42	1367	30437
43	1397	30365
44	1429	30340
45	1463	30354
46	1500	30423
47	1529	30341
48	1563	30342
49	1594	30287
50	1619	30127
51	1658	30227
52	1685	30118
53	1721	30154
54	1759	30223
55	1793	30241
56	1824	30180
57	1852	30079
58	1883	30044
59	1912	29957
60	1940	29869
61	1969	29796
62	2004	29805
63	2032	29725
64	2059	29624
65	2089	29564
66	2123	29573
67	2154	29534
68	2186	29496
69	2247	29853
70	2291	29983
71	2324	29961
72	2380	30230
73	2410	30167
74	2440	30105
75	2466	29983
76	2502	29999
77	2535	29965
78	2575	30021
79	2610	30023
80	2638	29934
81	2674	29944
82	2703	29874
83	2733	29810
84	2765	29768
85	2795	29707
86	2826	29658
87	2852	29558
88	2884	29526
89	2911	29437
90	2942	29394
91	2974	29358
92	3007	29335
93	3047	29371
94	3078	29323
95	3103	29224
96	3130	29139
97	3158	29071
98	3191	29046
99	3225	29028
100	3253	28963
101	3284	28916
102	3313	28852
103	3344	28813
104	3373	28753
105	3408	28750
106	3443	28740
107	3474	28697
108	3501	28618
109	3534	28593
110	3563	28543
111	3597	28520
112	3626	28468
113	3664	28476
114	3701	28485
115	3728	28414
116	3761	28385
117	3787	28306
118	3819	28277
119	3852	28254
120	3891	28270
121	3924	28243
122	3958	28226
123	3993	28209
124	4019	28138
125	4047	28072
126	4072	27995
127	4106	27977
128	4145	27990
129	4179	27969
130	4207	27910
131	4237	27861
132	4271	27846
133	4297	27770
134	4316	27655
135	4350	27640
136	4375	27565
137	4406	27524
138	4434	27471
139	4470	27462
140	4497	27398
141	4532	27386
142	4565	27363
143	4596	27325
144	4622	27258
145	4658	27248
